file,verdict,coverageState,indexingState,pageFetchState,robotsTxtState,userCanonical,googleCanonical,lastCrawlTime,sitemap
001.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/services/odoo/,https://ark-fid.ch/fr/services/odoo/,2026-02-13T20:20:33Z,https://ark-fid.ch/sitemap.xml
002.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/optimisation-charges-sociales-suisse-romande-guide-independants-pme-2025/,https://ark-fid.ch/en/ressources/articles/optimisation-charges-sociales-suisse-romande-guide-independants-pme-2025/,2026-01-02T18:50:31Z,
003.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/cotisations-lpp-geneve-2025-changements-impacts-pme/,https://ark-fid.ch/en/ressources/articles/cotisations-lpp-geneve-2025-changements-impacts-pme/,2026-02-11T15:36:46Z,
004.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/creer-entreprise-suisse/,https://ark-fid.ch/en/ressources/articles/creer-entreprise-suisse/,2026-01-01T22:34:13Z,
005.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/preparer-pme-independants-tva-2026/,https://ark-fid.ch/fr/ressources/articles/preparer-pme-independants-tva-2026/,2026-02-15T08:07:29Z,https://ark-fid.ch/sitemap.xml
006.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/,https://ark-fid.ch/fr/,2026-02-13T10:16:03Z,https://ark-fid.ch/sitemap.xml
007.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/proces-verbal-assemblee-generale-obligations-redaction-suisse-2025/,https://ark-fid.ch/fr/ressources/articles/proces-verbal-assemblee-generale-obligations-redaction-suisse-2025/,2026-02-07T18:08:50Z,https://ark-fid.ch/sitemap.xml
008.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/lpp-2025-reformes-nouvelles-obligations-et-impacts-pratiques-pour-les-entreprises-et-independants-geneve/,https://ark-fid.ch/en/ressources/articles/lpp-2025-reformes-nouvelles-obligations-et-impacts-pratiques-pour-les-entreprises-et-independants-geneve/,2026-02-15T18:55:01Z,https://ark-fid.ch/sitemap.xml
009.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/domiciliation-entreprise-geneve/,https://ark-fid.ch/fr/ressources/articles/domiciliation-entreprise-geneve/,2026-01-14T07:23:53Z,
010.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/optimiser-declaration-tva-suisse-2026-erreurs-courantes-et-guides-concrets-pme-independants/,https://ark-fid.ch/fr/ressources/articles/optimiser-declaration-tva-suisse-2026-erreurs-courantes-et-guides-concrets-pme-independants/,2026-01-05T04:32:03Z,https://ark-fid.ch/sitemap.xml
011.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/fiscalite-cryptomonnaies-suisse-2025/,https://ark-fid.ch/en/ressources/articles/fiscalite-cryptomonnaies-suisse-2025/,2025-10-19T12:42:27Z,https://ark-fid.ch/sitemap.xml
